Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,,,,,-0.048828125,-0.037109375,-0.99609375,,0.5293028248468075,12.483005397401383,0.2679465611217682,1228,0,3.2240668462578093,,0,,,,,-0.40693537109648664,0.13671875,0.303481541617652,0,0,1,1,0,0,0,0,,
0.04111999999999534,,,,,-0.068359375,0.025390625,-0.951171875,,,12.483231625755643,0.2725734045933785,1229,0,3.2770629294000826,,0,,,,,,0.13671875,0.3032843736858187,0,0,1,1,0,0,0,0,,
0.06732499999995344,,,,,-0.072265625,-0.0078125,-0.9375,-0.01144545667806181,,12.482806440878214,0.27472049036857704,1229,0,3.3177186627297206,0,0,0,0,0.6054014117660457,-0.19605369360587976,,0.13671875,0.3031543098759304,0,0,1,1,0,0,0,0,,
0.10071000000007917,,,,,-0.03515625,-0.04296875,-0.955078125,,,12.482390030517521,0.277611012339103,1230,0,3.3473941425667,,0,,,,,,0.13671875,0.30305056834492616,0,0,1,1,0,0,0,0,,
0.15053000000002795,,,,,-0.078125,-0.015625,-0.96484375,,0.5193634884809156,12.482018250332018,0.2791274749952863,1230,0,3.358281019288385,,0,,,,,-0.4059968663953967,0.13671875,0.30271045946259306,0,0,1,1,0,0,0,0,,
0.1819450000000652,,,,,-0.048828125,-0.001953125,-0.916015625,,,12.48201526455436,0.2829427990296642,1231,0,3.390592982032281,,0,,,,,,0.138671875,0.30269179536407376,0,0,1,1,0,0,0,0,,
0.22388500000000933,,,,,-0.076171875,0.025390625,-0.94140625,-0.011623043579990446,,12.481839710182435,0.2838399472681479,1232,0,3.408512055829394,0,0,0,0,0.6054810484685168,-0.19500490580815633,,0.138671875,0.3024816781071595,0,0,1,1,0,0,0,0,,
0.26532499999995346,,,,,-0.0546875,0.001953125,-0.943359375,,,12.481718813524093,0.2846253769122032,1232,0,3.4204365603011024,,0,,,,,,0.138671875,0.3023124733375978,0,0,1,1,0,0,0,0,,
0.2939350000000559,,,,,-0.0625,-0.01953125,-0.943359375,,0.5153693112646471,12.481601497005066,0.28496821911764103,1233,0,3.436026549057919,,0,,,,,-0.4056197230976492,0.138671875,0.30214861530392284,0,0,1,1,0,0,0,0,,
0.3392750000000233,,,,,-0.0625,-0.037109375,-0.970703125,,,12.481676710609873,0.2825566081674652,1233,0,3.404850855241394,,0,,,,,,0.140625,0.3017636295363638,0,0,1,1,0,0,0,0,,
0.3666700000000419,,,,,-0.03125,-0.0390625,-0.9765625,-0.011830749677026053,,12.481805113941224,0.2832904192003881,1233,0,3.4018266857419652,0,0,0,0,0.6070027472024351,-0.19500855585339416,,0.140625,0.30164129679997737,0,0,1,1,0,0,0,0,,
0.3992950000000419,,,,,-0.0625,0.013671875,-0.95703125,,,12.481699137976056,0.28415344474409465,1234,0,3.4284077375792323,,0,,,,,,0.140625,0.3015017540643749,0,0,1,1,0,0,0,0,,
0.4408850000000093,,,,,-0.068359375,0.013671875,-0.931640625,,0.5233760455467653,12.4816876972132,0.28341855850848613,1234,0,3.4224953920106977,,0,,,,,-0.40637574517875436,0.140625,0.30125225855380244,0,0,1,1,0,0,0,0,,
0.4673649999999907,,,,,-0.0703125,0,-0.970703125,,,12.481627168367735,0.28291649831273646,1234,0,3.4161387178001497,,0,,,,,,0.140625,0.3010573425876332,0,0,1,1,0,0,0,0,,
0.49069499999994876,,,,,-0.078125,0.046875,-0.91796875,,,12.481768709234979,0.2823155913178119,1233,0,3.408018035307336,,0,,,,,,0.138671875,0.3008926611994551,0,0,1,1,0,0,0,0,,
0.5185350000000326,,,,,-0.0234375,-0.052734375,-0.953125,-0.01198201754116006,,12.481279074033106,0.2835402588178574,1233,0,3.4364177694735574,0,0,0,0,0.6076817535855473,-0.1946415621396037,,0.138671875,0.3007999288516961,0,0,1,1,0,0,0,0,,
0.5438050000000513,,,,,-0.072265625,-0.009765625,-0.953125,,,12.481384612950844,0.2834116964741449,1234,0,3.4321354510110726,,0,,,,,,0.138671875,0.30065689112788413,0,0,1,1,0,0,0,0,,
0.5711650000000372,,,,,-0.05078125,-0.02734375,-0.9296875,,,12.480990565623047,0.28457090707809446,1234,0,3.452803332167807,,0,,,,,,0.138671875,0.3005773047915204,0,0,1,1,0,0,0,0,,
