Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
67.27341999999993,,,,,-0.0859375,0.115234375,-0.943359375,,,12.482873714824551,0.5024411456540655,1638,0,6.173325867512776,,60.88398434068626,,,,,,0.185546875,0.4766999248903475,0,0,1,1,0,0,0,0,,
67.30176999999955,,,,,-0.08203125,-0.064453125,-0.951171875,,0.9017114101720626,12.482492540858928,0.5005561556283151,1638,0,6.153297803786542,,61.079067694861145,,,,,-0.45940807614088386,0.185546875,0.4768476651725806,0,0,1,1,0,0,0,0,,
67.32320499999821,,,,,-0.0234375,-0.0625,-1,,,12.48245386071525,0.5007961599554474,1637,0,6.144713774220891,,61.13449140296006,,,,,,0.18359375,0.4770176117288832,0,0,1,1,0,0,0,0,,
67.34633000000008,,,,,-0.099609375,0.09765625,-0.9296875,0.021839733335217968,,12.482602340852637,0.5000846945747197,1637,0,6.139407358581341,3.743469807736276,60.97444898331841,0.24087583351375794,0.14687271221898932,0.48742927416457554,-0.30978287781793207,,0.185546875,0.4771512181531189,0,0,1,1,0,0,0,0,,
67.3707899999991,,,,,-0.07421875,-0.07421875,-0.943359375,,,12.482373492325573,0.5016535511248003,1637,0,6.150555049666933,,60.857503734854376,,,,,,0.185546875,0.4774120599982417,0,0,1,1,0,0,0,0,,
67.39356500000135,,,,,-0.0234375,-0.0703125,-0.990234375,,,12.482590306646536,0.5016067115139853,1637,0,6.149925871212813,,60.86433648036888,,,,,,0.185546875,0.4775826056272991,0,0,1,1,0,0,0,0,,
67.4298200000003,,,,,-0.099609375,0.09375,-0.923828125,,,12.482844062499089,0.5030163813235293,1637,0,6.1562199331994965,,60.80221210183836,,,,,,0.18359375,0.477898094496593,0,0,1,1,0,0,0,0,,
67.4562100000009,,,,,-0.0390625,-0.08203125,-0.9765625,,0.9054853619470515,12.482715679429242,0.5033892705109403,1638,0,6.175451198382966,,60.6679171572341,,,,,-0.45976442503100373,0.18359375,0.4781616933460332,0,0,1,1,0,0,0,0,,
67.47729499999993,,,,,-0.0625,0.0234375,-0.978515625,,,12.482627277984987,0.5030302108562716,1637,0,6.180649339355956,,60.57262637559114,,,,,,0.18359375,0.4783089226572193,0,0,1,1,0,0,0,0,,
67.50066999999993,,,,,-0.125,0.138671875,-0.931640625,0.021660589650091905,,12.482542328159777,0.5038987664865117,1637,0,6.176813941877435,3.7126795088046824,60.106707822839454,0.24388998829542857,0.1465942426738906,0.48758099513552167,-0.30878637591262004,,0.18359375,0.4785351420259145,0,0,1,1,0,0,0,0,,
