Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,,,,,-0.0625,-0.005859375,-0.96484375,,-0.03521620791453971,12.496955988436124,0.03619122875079927,7493,0,0.3034141474174897,,157.83259511147435,,,,,-0.3623842167264896,0.0703125,0.03634861334873661,0,0,1,1,0,0,0,0,,
0.02683999999985099,,,,,-0.0625,-0.03125,-0.94140625,,,12.49692078717833,0.03535175513590016,7493,0,0.30408871328849363,,157.4826070401673,,,,,,0.0703125,0.036301774944299973,0,0,1,1,0,0,0,0,,
0.05380499999970198,,,,,-0.0625,-0.009765625,-0.9609375,,,12.49677735319536,0.03556129186012856,7493,0,0.30096938228437453,,159.1148153516849,,,,,,0.0703125,0.036305103668337974,0,0,1,1,0,0,0,0,,
0.0803249999973923,,,,,-0.0625,-0.01953125,-0.953125,-0.0006321538560651663,,12.496999685112055,0.034752890035218885,7493,0,0.2873347225438428,0.4959964967959654,172.61975594344818,0.07100092065574881,0.12256161595355489,0.5708977810578835,-0.23999862968739105,,0.0703125,0.03625676786818694,0,0,1,1,0,0,0,0,,
0.10722999999858439,,,,,-0.0625,-0.009765625,-0.9609375,,,12.497366800304981,0.03374480601079534,7493,0,0.28965708527729506,,171.2357571375011,,,,,,0.0703125,0.03618681015576882,0,0,1,1,0,0,0,0,,
0.13365499999932945,,,,,-0.0625,0,-0.970703125,,-0.039016006806145115,12.497278990454323,0.03416621483489018,7493,0,0.301293072750823,,164.6226047505142,,,,,-0.36202542726694326,0.0703125,0.036189096797231556,0,0,1,1,0,0,0,0,,
0.15591999999806286,,,,,-0.0625,-0.029296875,-0.943359375,,,12.497343868511111,0.03367498389063832,7493,0,0.29223091943019236,,169.7275926425086,,,,,,0.0703125,0.036148800268214,0,0,1,1,0,0,0,0,,
0.17820999999903142,,,,,-0.0625,-0.029296875,-0.94140625,,,12.497111479840083,0.032495075938479445,7493,0,0.2768169000861926,,179.17854884888496,,,,,,0.0703125,0.03606851825519221,0,0,1,1,0,0,0,0,,
0.20090499999932945,,,,,-0.0625,-0.017578125,-0.953125,,,12.497139982996611,0.03203810877132015,7493,0,0.2747116814340807,,180.5516612763349,,,,,,0.0703125,0.036019620070165105,0,0,1,1,0,0,0,0,,
0.23137999999895692,,,,,-0.0625,0.03125,-0.994140625,-0.0006480707513549052,,12.496833406373629,0.03310022835094031,7493,0,0.2900507276430865,0.5084851168579038,175.30902990307453,0.07672988945524661,0.13451442484969434,0.5708490542828566,-0.23985651592723323,,0.0703125,0.036044515623298065,0,0,1,1,0,0,0,0,,
