Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1500,,,,-0.0625,-0.025,-0.9458984375,0.0014782186007465537,0.23304613390045784,0.000034940023389381165,-0.02692057424669102,0,0,0,0,0,0,0,0.06484375,,
0.36219184500000556,1500,,,,-0.0625,-0.01640625,-0.9541015625,0.0015375075228309032,0.2348279352062487,0.00020881127338469207,-0.024112268169426656,0,0,0,0,0,0,0,0.0646484375,,
0.611481345000006,1500,,,,-0.0625,-0.019921875,-0.9509765625,0.0015280027421330123,0.23866471142883536,0.00022931521536189114,-0.023705785660776257,0,0,0,0,0,0,0,0.064453125,,
0.8608428450000043,1500,,,,-0.0625,-0.02578125,-0.9458984375,0.0014670714516984494,0.23122675724591432,0.00011790447021688141,-0.025356025239868435,0,0,0,0,0,0,0,0.064453125,,
1.1115703450000038,1500,,,,-0.0625,-0.0220703125,-0.949609375,0.00153576827831855,0.23310134169396207,0.00010702845221488927,-0.02632236200420862,0,0,0,0,0,0,0,0.064453125,,
1.3620408450000037,1500,,,,-0.0625,-0.0255859375,-0.945703125,0.0015837718545827794,0.23858142734735963,0.0001009140096955546,-0.02412383535105151,0,0,0,0,0,0,0,0.062890625,,
1.6107823450000047,1500,,,,-0.0625,-0.021484375,-0.949609375,0.0015563487516211778,0.23773237978117456,0.0001201709444315664,-0.02886960209543239,0,0,0,0,0,0,0,0.0625,,
1.8620703450000042,1500,,,,-0.0625,-0.0244140625,-0.946875,0.0013763473177978813,0.23384601271707772,0.00007477387208758525,-0.025433267314957275,0,0,0,0,0,0,0,0.0626953125,,
2.111440345000003,1500,,,,-0.0625,-0.026171875,-0.944921875,0.0015545883867800238,0.22605134816071829,0.00015404945813175184,-0.024671880005787343,0,0,0,0,0,0,0,0.0625,,
2.3613998450000038,1500,,,,-0.0625,-0.0240234375,-0.946875,0.0016550704006826123,0.23136063809033558,0.000060737006630812074,-0.023860634362423045,0,0,0,0,0,0,0,0.0625,,
2.612656345000006,1500,,,,-0.0625,-0.021484375,-0.9498046875,0.0016663145189568147,0.24197663901705854,0.00010307421597859361,-0.024985291347154638,0,0,0,0,0,0,0,0.0625,,
2.861535345000007,1500,,,,-0.0625,-0.0208984375,-0.9505859375,0.001756288464242126,0.2490107540124114,0.00016338739520122946,-0.02518061834249095,0,0,0,0,0,0,0,0.0625,,
3.1117288450000036,1500,,,,-0.0625,-0.023046875,-0.9484375,0.0017271584756692279,0.23362173027935676,0.00009528536476796154,-0.02804346569089509,0,0,0,0,0,0,0,0.0625,,
3.362458845000005,1500,,,,-0.0625,-0.026171875,-0.944921875,0.0014986558689788249,0.22393905833620917,0.00007825436251140513,-0.02679971697585005,0,0,0,0,0,0,0,0.0625,,
3.6112033450000047,1500,,,,-0.0625,-0.0234375,-0.9482421875,0.0015760478683063128,0.222382647512078,0.00010541927538677812,-0.023646283936324224,0,0,0,0,0,0,0,0.0625,,
3.861640345000004,1500,,,,-0.0625,-0.0224609375,-0.9484375,0.0015434242954410048,0.22304016213848674,0.000027588080642140427,-0.023731728266307848,0,0,0,0,0,0,0,0.0625,,
4.110382845000006,1500,,,,-0.0625,-0.02109375,-0.949609375,0.001570559817086771,0.22619661589809448,0.00006475693197727545,-0.026492579351788347,0,0,0,0,0,0,0,0.0625,,
4.360498845000006,1500,,,,-0.0625,-0.0212890625,-0.95,0.0016127352409098235,0.23058762579987319,0.00017186825488963597,-0.02613101600687977,0,0,0,0,0,0,0,0.0625,,
4.610747845000004,1500,,,,-0.0625,-0.0169921875,-0.9541015625,0.00150985603875466,0.23438943653592167,0.00015198338533879325,-0.028104163292470164,0,0,0,0,0,0,0,0.064453125,,
4.860464845000006,1500,,,,-0.0625,-0.0232421875,-0.9482421875,0.0014767646091627708,0.22578690955004263,0.00017079658587964433,-0.028044387210549145,0,0,0,0,0,0,0,0.064453125,,
5.112372845000003,1500,,,,-0.0625,-0.01484375,-0.95546875,0.0016183553079179244,0.2315273087113024,0.00005913676881784236,-0.0281508150840586,0,0,0,0,0,0,0,0.064453125,,
5.361371345000004,1500,,,,-0.0625,-0.021875,-0.9498046875,0.0015913406173162785,0.22609848329212381,0.00005053674992881263,-0.02913410203239899,0,0,0,0,0,0,0,0.064453125,,
5.611405345000007,1500,,,,-0.0625,-0.0232421875,-0.948046875,0.0014963087981688574,0.22607825337795434,0.00007398574470577875,-0.024630717375840938,0,0,0,0,0,0,0,0.064453125,,
5.861479845000005,1500,,,,-0.0625,-0.0173828125,-0.953125,0.0015404393618235679,0.23070639746694,0.00015864650980427662,-0.023848414960987396,0,0,0,0,0,0,0,0.064453125,,
