Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,1413,,,,-0.056640625,-0.12109375,-0.94921875,,3.147223166479043,12.412338414076592,2.295251653484726,2987,2987,28.358715421208583,,66.85999481552192,,,,,-0.7272878964456782,0.81640625,2.2931102968052692,0,0,0,0,,
0.03618500000052154,1413,,,,-0.015625,0.080078125,-0.90234375,,,12.41289437874962,2.293082992174816,2985,2988,28.364068539221034,,66.85948535192617,,,,,,0.8125,2.293013374584268,0,0,0,0,,
0.096125,1413,,,,-0.015625,-0.1171875,-0.955078125,0.06039668709072078,,12.413016027652613,2.2904963266227467,2986,2987,28.316181711884184,18.89107700112408,66.7147752947057,0.16659839808454396,0.11114574692668279,0.32566135075331604,-0.4501309210778305,,0.82421875,2.2928597089853273,0,0,0,0,,
0.14464000000059604,1413,,,,-0.15625,0.212890625,-1.009765625,,3.191503900983933,12.41183409043131,2.31770581818426,2988,2986,28.673430344744137,,65.86842962377986,,,,,-0.7316738324805502,0.826171875,2.2943785016550056,0,0,0,0,,
0.19558500000089407,1413,,,,0.056640625,-0.09375,-0.96875,0.06070604250253449,,12.412240525863787,2.3111172757163927,2989,2988,28.59802959899484,18.994442616702404,66.41871094982717,0.1680230352312389,0.11159873409936284,0.3261136712435403,-0.45238997229392863,,0.826171875,2.294399637963402,0,0,0,0,,
0.234160000000149,1413,,,,-0.19921875,-0.015625,-0.99609375,,,12.411028754487457,2.3347315550633456,2988,2989,28.885294097349323,,65.79226456106927,,,,,,0.833984375,2.2959342676164494,0,0,0,0,,
0.2782100000008941,1413,,,,0.01953125,0.009765625,-0.953125,,3.0894567351454336,12.411179549859824,2.3203540700787872,2991,2991,28.69057786233609,,66.27119140744372,,,,,-0.7215662236770376,0.828125,2.295648255942688,0,0,0,0,,
0.3201800000015646,1413,,,,-0.037109375,0.162109375,-0.990234375,,,12.410537883289905,2.3078440925423185,2994,2993,28.57056331605011,,66.59931344858164,,,,,,0.822265625,2.2952287480914393,0,0,0,0,,
0.3717800000011921,1413,,,,-0.0078125,-0.08203125,-0.9453125,0.060624694373736986,,12.411371026928038,2.298643913995444,2994,2993,28.4378319040867,19.001296059234953,66.81696453977683,0.16259189507464702,0.10863896887657805,0.3264573489772212,-0.45218215004274187,,0.830078125,2.2949051692642417,0,0,0,0,,
0.40626500000059607,1413,,,,0,-0.119140625,-1.041015625,,,12.411809340371377,2.298552223099273,2989,2993,28.43265094242956,,66.82103144040424,,,,,,0.83203125,2.294940904398519,0,0,0,0,,
0.45611500000022354,1413,,,,0.080078125,0.03515625,-0.943359375,,3.196781783121599,12.411488700212274,2.317266962843323,2989,2993,28.655793770518642,,66.30128000774354,,,,,-0.7321965982773289,0.828125,2.296085813069125,0,0,0,0,,
0.5056450000014157,1413,,,,-0.0859375,0.130859375,-1.03515625,0.06076834830227153,,12.41228249886174,2.305994596514008,2994,2995,28.50516520726228,19.05613924761354,66.85153062280304,0.16775600459164056,0.11214745678117147,0.32656400656408424,-0.45314486471860493,,0.8359375,2.2957417896167898,0,0,0,0,,
0.5490250000003726,1413,,,,-0.0546875,-0.17578125,-0.90625,,,12.412531737142288,2.294094467566677,2995,2996,28.32862706778743,,67.2910842552244,,,,,,0.833984375,2.2952056330540644,0,0,0,0,,
0.5837200000006706,1413,,,,0.07421875,-0.208984375,-1.0234375,,3.0888094846227565,12.413393378389149,2.2964510056764125,2995,2997,28.370957371090896,,67.21669003977806,,,,,-0.7215021145464475,0.828125,2.2953244455944697,0,0,0,0,,
0.6303149999994785,1413,,,,-0.09765625,0.072265625,-0.939453125,,,12.412863328393268,2.2929605741851344,2995,2996,28.3153666119297,,67.34009834093648,,,,,,0.828125,2.2951398558252976,0,0,0,0,,
0.701320000000298,1413,,,,0.0234375,-0.015625,-0.9296875,0.06031428911423585,,12.413185393433999,2.29319222999385,2995,2995,28.29898077779014,18.91839472436753,66.851858987145,0.16327016798334723,0.10914914246830204,0.32615381321002407,-0.4500409267417411,,0.830078125,2.295110671762902,0,0,0,0,,
0.7528950000014156,1413,,,,-0.0625,0.09765625,-1.02734375,,3.195422970723846,12.412165109017495,2.2878274007623403,2995,2995,28.264171439035785,,66.92732967017734,,,,,-0.732062010079401,0.8203125,2.2947548682715095,0,0,0,0,,
0.8002400000002236,1413,,,,-0.033203125,-0.126953125,-0.97265625,0.06006488330015996,,12.412230050449452,2.2883593314720647,2995,2995,28.272357759721828,18.837476031944707,66.62859953895139,0.16963116318263805,0.11302286841022507,0.3268994780776833,-0.4491466133398105,,0.828125,2.2946812196370017,0,0,0,0,,
0.8344050000011921,1413,,,,-0.048828125,0.16015625,-0.984375,,,12.412271560353329,2.2842492024714844,2995,2994,28.21038645475977,,66.76345803235164,,,,,,0.830078125,2.294385569035344,0,0,0,0,,
0.8870750000011176,1413,,,,0.056640625,0.0859375,-0.927734375,,3.0911061066187897,12.41239232458153,2.2845672550977527,2995,2994,28.206588834829795,,66.77234058007842,,,,,-0.7217295912873712,0.826171875,2.294248386648092,0,0,0,0,,
0.9336500000003726,1413,,,,0.009765625,-0.169921875,-0.93359375,,,12.412551290754273,2.2820010448742405,2995,2994,28.21928556687887,,66.74312016482493,,,,,,0.8359375,2.293953152520118,0,0,0,0,,
0.979820000000298,1413,,,,-0.1171875,-0.08203125,-0.9921875,0.059825689189968466,,12.412919396222389,2.2851910989373847,2995,2994,28.25413464577315,18.759928501775057,66.39710873106341,0.16477174240436526,0.10940367296229413,0.3262926436132765,-0.44718527182762413,,0.8359375,2.2939620441359816,0,0,0,0,,
