Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,700,,,,-0.0625,-0.0169921875,-0.9546875,-0.0004964914080273026,-0.01598525367595353,12.49186300937315,0,0,0,0.10444201878264019,0,0,0,0,0.5660105826682555,-0.2319058076408352,-0.3704945609305045,0.066015625,0,0.1,0,1,1,0,0,0,0,,
0.5633826810001862,700,,,,-0.0625,-0.018359375,-0.95390625,-0.0005416759368133546,-0.008988636513828776,12.491370737085049,0,0,0,0.11243839117892304,0,0,0,0,0.5662244860016458,-0.2318057274567585,-0.3711552044439802,0.0673828125,0,0,0,1,1,0,0,0,0,,
0.9329166810001246,700,,,,-0.0625,-0.017578125,-0.954296875,-0.0005381600963041927,-0.004695665251181287,12.491799675330375,0,0,0,0.10878455511324876,0,0,0,0,0.565970079621481,-0.23160874662380898,-0.3715605608544409,0.066796875,0,0.1,0,1,1,0,0,0,0,,
1.2604906810001002,700,,,,-0.0625,-0.0201171875,-0.9515625,-0.0004709098200378375,-0.005286906275210603,12.491732436985957,0,0,0,0.08347430796339149,0,0,0,0,0.5655554743253621,-0.23167481348871927,-0.37150473394003714,0.0666015625,0,0,0,1,1,0,0,0,0,,
1.6284036810000893,700,,,,-0.0625,-0.0212890625,-0.950390625,-0.0004250275671756937,-0.0023270485701475736,12.491186033029244,0,0,0,0.06639201108320905,0,0,0,0,0.5650704575754867,-0.23154579270361375,-0.37178421340108947,0.066015625,0,0.1,0,1,1,0,0,0,0,,
1.9573616810000503,700,,,,-0.0625,-0.0193359375,-0.9525390625,-0.00040563759553052255,-0.005446590434719102,12.491795844879993,0,0,0,0.07885246933144234,0,0,0,0,0.5650669664164779,-0.2316647873357785,-0.3714896560385686,0.06484375,0,0,0,1,1,0,0,0,0,,
2.3215536810001822,700,,,,-0.0625,-0.016015625,-0.9560546875,-0.0004665521808268221,-0.016927739799650805,12.491405722925895,0,0,0,0.09634189940911927,0,0,0,0,0.5653731423751525,-0.23154520190547828,-0.37040556830310556,0.0658203125,0,0,0,1,1,0,0,0,0,,
2.7284001810000746,700,,,,-0.0625,-0.0171875,-0.9552734375,-0.0005168120024529022,-0.015164069222672018,12.491297606511525,0,0,0,0.08410353822812384,0,0,0,0,0.5655334283853387,-0.23136701122508735,-0.3705720998567964,0.0669921875,0,0,0,1,1,0,0,0,0,,
3.131083681000071,700,,,,-0.0625,-0.0220703125,-0.95,-0.000620517364218327,-0.01090680411906017,12.49118907639141,0,0,0,0.08853195717068807,0,0,0,0,0.5662351037767056,-0.23131880308080896,-0.37097408477474697,0.0662109375,0,0,0,1,1,0,0,0,0,,
3.4724151810001116,700,,,,-0.0625,-0.020703125,-0.9513671875,-0.000607431185016529,-0.01315749668715621,12.491518208824955,0,0,0,0.0875531316420986,0,0,0,0,0.5662896085077753,-0.23144808218022858,-0.3707615670091632,0.065625,0,0,0,1,1,0,0,0,0,,
