Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,700,,,,-0.0625,-0.01484375,-0.9568359375,0.0007816986397744776,0.037243589530471424,12.491884477233139,0,0,0,0.09071218300295203,0,0,0,0,0.5669812907828623,-0.23079590222708216,-0.37154289103643373,0.0720703125,0,0,0,1,1,0,0,0,0,,
0.45506663749995646,700,,,,-0.0625,-0.0177734375,-0.953515625,0.0008500882039386793,0.032364412606274644,12.492013817688763,0,0,0,0.13606892327864387,0,0,0,0,0.5668145348809823,-0.23108259282842103,-0.3710821831669906,0.0703125,0,0.1,0,1,1,0,0,0,0,,
0.7039581374999369,700,,,,-0.0625,-0.0203125,-0.9521484375,0.0008605233713944085,0.046688502462806154,12.492058515609237,0,0,0,0.11307714509764447,0,0,0,0,0.5664712502147321,-0.23085260361022733,-0.37243471065718825,0.068359375,0,0.1,0,1,1,0,0,0,0,,
0.9560676374999574,700,,,,-0.0625,-0.016015625,-0.9552734375,0.0008605036805267478,0.05474953437384442,12.491908257917215,0,0,0,0.09799834880295566,0,0,0,0,0.5663716104421745,-0.23076666694414244,-0.3731958596982959,0.0673828125,0,0,0,1,1,0,0,0,0,,
1.2201951374999713,700,,,,-0.0625,-0.01640625,-0.95625,0.0008765606534536762,0.05662142155559845,12.491804282718459,0,0,0,0.08977752522032481,0,0,0,0,0.566198900598001,-0.23071895418781718,-0.37337260941832895,0.068359375,0,0,0,1,1,0,0,0,0,,
1.4985536375000144,700,,,,-0.0625,-0.0224609375,-0.949609375,0.0009659889130569936,0.054452301142616434,12.4921047308705,0,0,0,0.0939864441669879,0,0,0,0,0.5656625103256184,-0.23081967960372168,-0.37316779396286265,0.0681640625,0,0,0,1,1,0,0,0,0,,
1.7761821374998896,700,,,,-0.0625,-0.0169921875,-0.955078125,0.001000639517096061,0.04880569225223332,12.492177261319133,0,0,0,0.07974674032192011,0,0,0,0,0.5655501987188354,-0.23094097439186717,-0.372634622653053,0.06640625,0,0,0,1,1,0,0,0,0,,
2.053566137499991,700,,,,-0.0625,-0.0140625,-0.957421875,0.000941463115767998,0.04792057504214892,12.492233202640943,0,0,0,0.09508480949866134,0,0,0,0,0.565945957985733,-0.23090947742291273,-0.3725510469864189,0.0677734375,0,0,0,1,1,0,0,0,0,,
2.3089726374999158,700,,,,-0.0625,-0.019921875,-0.9521484375,0.0008934477083647601,0.04603266878859628,12.491810176980135,0,0,0,0.10977934095437487,0,0,0,0,0.5661529785312146,-0.2307856577416565,-0.372372784693148,0.0669921875,0,0.1,0,1,1,0,0,0,0,,
2.6007061374999116,700,,,,-0.0625,-0.01796875,-0.95390625,0.0009400108531261245,0.045514092232786574,12.491780436461578,0,0,0,0.1141631814859941,0,0,0,0,0.565916992692899,-0.23087539403258064,-0.3723238189958834,0.0681640625,0,0,0,1,1,0,0,0,0,,
